Generator,P2 gSAS-hit k = 5,P2 gSAS-hit k = 10,P3 gSAS-hit k = 5,P3 gSAS-hit k = 10
Qwen3:0.6B,0.3532755567294682,0.33393013238626706,0.3212316811703084,0.3489148845153329
LFM2.5:1.2B,0.6270574508849531,0.649789640057832,0.6053791339322925,0.6192393983528018
Qwen3:1.7B,0.48010200288438476,0.49180239130813913,0.4460384989361341,0.4483474143450177
Qwen3:4B,0.6069309284351766,0.6150424399648804,0.5412958446164507,0.5770260513030395
Gemma3:4B,0.5154050697796047,0.505128559326753,0.44519720853306355,0.4568360708802938
Granite4:7B,0.479599505931139,0.49139541257172825,0.4348657020032406,0.4512351144682616
Qwen3:8B,0.443806250313563,0.4620355751477182,0.4281734823108171,0.4486851137052111
LFM2:8B,0.4780267033409327,0.495400495423004,0.4657656183540821,0.48259992308728394
Gemma3:12B,0.5241211999151856,0.5402747948393226,0.4637745559066534,0.47461655619740484
Qwen3:14B,0.4149540318960029,0.4301197030665521,0.4058524567125873,0.41818483111446714
GPT-OSS:20B,0.4876350523458876,0.4851889904772102,0.46050113768062806,0.48069269318027374
Qwen3:30B,0.6142004721135979,0.6471957436804059,0.5723031841364049,0.5896428304216571
