pipeline,generator,generator_label,embedder,embedder_label,top_k,n,em,f1,recall_at_k,r_precision,grounded_em_hit,grounded_f1_hit,grounded_em_all,grounded_f1_all,total_time_s,fail_rate
P2,Maternion/lfm2:8b,LFM2:8B,qwen3-embedding:4b,QwenEmb-4B,5,500,0.016,0.20814082433738662,0.968,0.6845714285714286,0.016,0.20796691129390837,0.006,0.12117695815082036,4.8283063073158266,0.0
P2,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.276,0.46604813170707265,0.98,0.6852380952380952,0.276,0.46604813170707265,0.19,0.32327515697496156,5.132867449760437,0.0
P2,gemma3:4b,Gemma3:4B,qwen3-embedding:4b,QwenEmb-4B,5,500,0.244,0.42934589231671716,0.968,0.6845714285714286,0.244,0.4289822559530808,0.138,0.24988290680782482,4.867928515911102,0.0
P2,gpt-oss:20b,GPT-OSS:20B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.22,0.39631295483232226,0.94,0.6685238095238095,0.22,0.39494931846868586,0.112,0.21348550696908294,5.350965357303619,0.004
P2,granite4:7b-a1b-h,Granite4:7B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.078,0.2547241087251034,0.944,0.6705238095238095,0.078,0.25280722560822033,0.034,0.13567416047016564,2.7403533868789673,0.0
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.106,0.1708646124685923,0.966,0.6721904761904761,0.106,0.17084037004434988,0.068,0.10786940193704926,4.953568222522736,0.0
P2,qwen3:0.6b,Qwen3:0.6B,qwen3-embedding:4b,QwenEmb-4B,5,500,0.072,0.2210562857589363,0.968,0.6845714285714286,0.072,0.22069264939529992,0.042,0.1334680852325784,6.401371002674103,0.0
P2,qwen3:1.7b,Qwen3:1.7B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.166,0.349790680404038,0.98,0.6852380952380952,0.166,0.34956845818181576,0.106,0.23566790922119957,6.879312403678894,0.0
P2,qwen3:14b,Qwen3:14B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.048,0.2587140636713903,0.978,0.6832380952380952,0.048,0.2587140636713903,0.024,0.17318782775367456,10.055370464324952,0.002
P2,qwen3:30b,Qwen3:30B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.46,0.5844597972728781,0.976,0.6829047619047619,0.46,0.5844597972728781,0.322,0.40800586935927,18.15158577489853,0.004
P2,qwen3:4b,Qwen3:4B,qwen3-embedding:4b,QwenEmb-4B,5,500,0.388,0.5097619773253479,0.968,0.6845714285714286,0.388,0.5093983409617115,0.226,0.29905165823296126,15.556976149082184,0.0
P2,qwen3:8b,Qwen3:8B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.074,0.2810149182313319,0.966,0.6721904761904761,0.074,0.28065128186769556,0.038,0.17414131303491456,6.043740859508515,0.0
