Generator,P2 gF1-hit k = 5,P2 gF1-hit k = 10,P3 gF1-hit k = 5,P3 gF1-hit k = 10
Qwen3:0.6B,0.22069264939529992,0.19829172511712054,0.1981813365605018,0.20549429164030325
LFM2.5:1.2B,0.1293982231737965,0.17084037004434988,0.0946647777431775,0.10849352949441682
Qwen3:1.7B,0.33947496823388706,0.34956845818181576,0.3030604346317745,0.2947425929497364
Qwen3:4B,0.5093983409617115,0.4795572047814739,0.43252032346712865,0.4320879742039678
Gemma3:4B,0.4289822559530808,0.4021266857084603,0.36669362536073724,0.3595248932883846
Granite4:7B,0.2529940397382243,0.2392331724429348,0.23095158229417964,0.21112022126147706
Qwen3:8B,0.27845236496224457,0.28065128186769556,0.2663122323873345,0.272941939824047
LFM2:8B,0.20796691129390837,0.2001812669500499,0.2014251432500938,0.1922397730299349
Gemma3:12B,0.46355542100787755,0.46604813170707265,0.4128965443166633,0.41529963810065407
Qwen3:14B,0.25494820614453173,0.2587140636713903,0.23964530754204222,0.23955258947851446
GPT-OSS:20B,0.39494931846868586,0.3864438553953013,0.35936572977570247,0.36382182350112097
Qwen3:30B,0.5632585215845144,0.5844597972728781,0.5216360673520061,0.5330406613717918
